month,월강수합계,월평균강수,비온날수,전체일수,비온날비율(%)
2013-01,22.1,0.7129032258064517,7,31,22.58064516129032
2013-02,74.1,2.6464285714285714,8,28,28.57142857142857
2013-03,27.3,0.8806451612903226,8,31,25.806451612903224
2013-04,71.7,2.39,15,30,50.0
2013-05,132.0,4.258064516129032,10,31,32.25806451612903
2013-06,28.3,0.9433333333333334,9,30,30.0
2013-07,676.2,21.812903225806455,25,31,80.64516129032258
2013-08,148.6,4.793548387096774,12,31,38.70967741935484
2013-09,138.5,4.616666666666666,9,30,30.0
2013-10,13.5,0.43548387096774194,4,31,12.903225806451612
2013-11,46.8,1.5599999999999998,12,30,40.0
2013-12,24.7,0.7967741935483871,9,31,29.03225806451613
